df,y 
1/1/2019,38
2/1/2019,86
3/1/2019,103
4/1/2019,127
5/1/2019,208
6/1/2019,229
7/1/2019,250
8/1/2019,239
9/1/2019,186
10/1/2019,189
11/1/2019,243
12/1/2019,375
1/1/2020,186
2/1/2020,270
3/1/2020,209
4/1/2020,97
5/1/2020,237
6/1/2020,303
7/1/2020,279
8/1/2020,305
9/1/2020,299
10/1/2020,391
11/1/2020,387
12/1/2020,657
1/1/2021,253
2/1/2021,307
3/1/2021,440
4/1/2021,515
5/1/2021,652
6/1/2021,629
7/1/2021,563
8/1/2021,399
9/1/2021,458
10/1/2021,549
11/1/2021,518
12/1/2021,686
1/1/2022,469
2/1/2022,515
3/1/2022,696
