Dates,Sales ,Submission
1/31/2019,38,1339
2/28/2019,86,2248
3/31/2019,103,2278
4/30/2019,127,2821
5/31/2019,208,3057
6/30/2019,229,2807
7/31/2019,250,3347
8/31/2019,239,3106
9/30/2019,186,2593
10/31/2019,189,2708
11/30/2019,243,2627
12/31/2019,375,1868
1/31/2020,186,1833
2/28/2020,270,1824
3/31/2020,209,1606
4/30/2020,97,902
5/31/2020,237,1461
6/30/2020,303,1820
7/31/2020,279,1689
8/31/2020,305,1804
9/30/2020,299,1680
10/31/2020,391,1676
11/30/2020,387,1571
12/31/2020,657,1632
1/31/2021,253,1187
2/28/2021,307,1079
3/31/2021,440,1517
4/30/2021,515,1729
5/31/2021,652,1987
6/30/2021,629,1865
7/31/2021,563,2047
8/31/2021,399,1824
9/30/2021,458,1921
10/31/2021,549,2085
11/30/2021,518,1988
12/31/2021,686,2145
1/31/2022,469,2297
2/28/2022,515,2196
3/31/2022,696,2441
