df,y ,Submission
1/1/2019,38.00,1339.00
2/1/2019,86.00,2248.00
3/1/2019,103.00,2278.00
4/1/2019,127.00,2821.00
5/1/2019,208.00,3057.00
6/1/2019,229.00,2807.00
7/1/2019,250.00,3347.00
8/1/2019,239.00,3106.00
9/1/2019,186.00,2593.00
10/1/2019,189.00,2708.00
11/1/2019,243.00,2627.00
12/1/2019,375.00,1868.00
1/1/2020,186.00,1833.00
2/1/2020,270.00,1824.00
3/1/2020,209.00,1606.00
4/1/2020,97.00,902.00
5/1/2020,237.00,1461.00
6/1/2020,303.00,1820.00
7/1/2020,279.00,1689.00
8/1/2020,305.00,1804.00
9/1/2020,299.00,1680.00
10/1/2020,391.00,1676.00
11/1/2020,387.00,1571.00
12/1/2020,657.00,1632.00
1/1/2021,253.00,1187.00
2/1/2021,307.00,1079.00
3/1/2021,440.00,1517.00
4/1/2021,515.00,1729.00
5/1/2021,652.00,1987.00
6/1/2021,629.00,1865.00
7/1/2021,563.00,2047.00
8/1/2021,399.00,1824.00
9/1/2021,458.00,1921.00
10/1/2021,549.00,2085.00
11/1/2021,518.00,1988.00
12/1/2021,686.00,2145.00
1/1/2022,469.00,2297.00
2/1/2022,515.00,2196.00
3/1/2022,696.00,2441.00
